fid,MS_ID,Per_extent,Tem_extent,Street_type_NOR,ARw500re,ARw500dn,ARw500rm,Resident_NOR,DayNight_NOR,PRM_NOR,Index_population,ABw2kwl,ABw5kwl,ARw2kiw,ARw2ktw,ARw2kmw,PFARw2kiw,PFlossR_2kiw,N_PFlossR_2kiw,PFARw2ktw,PFlossR_2ktw,N_PFlossR_2ktw,PFARw2kmw,PFlossR_2kmw,N_PFlossR_2kmw,PF_Index_acc_loss,PFARw500re,PFARw500dn,PFARw500rm,PFResident_lossR,PFDaynight_lossR,PFPRM_lossR,PF_Index_population,PFABw2kwl,PFABw5kwl,PFAB2k_lossR,N_PFAB2k_lossR,PFAB2k_NOR,PFAB5k_lossR,N_PFAB5k_lossR,PFAB5k_NOR,PF_Index_centrality,PF_Index_V_equal,TFARw2kiw,TFlossR_2kiw,N_TFlossR_2kiw,TFARw2ktw,TFlossR_2ktw,N_TFlossR_2ktw,TFARw2kmw,TFlossR_2kmw,N_TFlossR_2kmw,TF_Index_acc_loss,TFARw500re,TFARw500dn,TFARw500rm,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TF_Index_population,TFABw2kwl,TFABw5kwl,TFAB2k_lossR,N_TFAB2k_lossR,TFAB2k_NOR,TFAB5k_lossR,N_TFAB5k_lossR,TFAB5k_NOR,TF_Index_centrality,TF_Index_V_equal,PF_Index_Risk_equal,TF_Index_Risk_equal,pop_level,street_level,acc_level,exp_level,cause_label,intervention_label,intervention_name,cause_label_v3b,cause_label_v4
24364,24364,0,0,0.75,15,7410,3,0.298547359720972,0.882652612035425,0.172120572897912,0.451106848218103,96927328.0,1535667584.0,0.0,90.1220016479492,1264,0.0,,,81.3359985351562,-0.0974901017746414,-0.0974901017746414,1030.0,-0.185126582278481,-0.185126582278481,0.0942055613510408,15.0,7410.0,3.0,0.0,0.0,0.0,0.0,77066704.0,1112101632.0,-0.204902212923893,0.204902212923893,0.15367665969292,-0.275818775113247,0.275818775113247,0.206864081334936,0.180270370513928,0.0921703733040023,0.0,,,61.4560012817383,-0.318079934333807,-0.318079934333807,914.0,-0.276898734177215,-0.276898734177215,0.198326222837007,8.0,4942.0,3.0,-0.466666666666667,-0.33306342780027,0.0,0.120254574113382,0.0,0.0,-1.0,1.0,0.75,-1.0,1.0,0.75,0.75,0.316726754946849,0.0921703733040023,0.316726754946849,high,high,low,low,mixed_review,-1,review,A_one_and_only,A_one_and_only
24365,24365,0,0,0.75,15,7410,3,0.298547359720972,0.882652612035425,0.172120572897912,0.451106848218103,96798992.0,1534180352.0,0.0,90.1220016479492,1270,0.0,,,81.3359985351562,-0.0974901017746414,-0.0974901017746414,1032.0,-0.18740157480315,-0.18740157480315,0.094963892192597,15.0,7410.0,3.0,0.0,0.0,0.0,0.0,76888200.0,1110403712.0,-0.205692141918172,0.205692141918172,0.154269106438629,-0.276223482752568,0.276223482752568,0.207167612064426,0.180718359251527,0.0926615359091803,0.0,,,63.5929985046387,-0.294367664479346,-0.294367664479346,915.0,-0.279527559055118,-0.279527559055118,0.191298407844821,8.0,4942.0,3.0,-0.466666666666667,-0.33306342780027,0.0,0.120254574113382,142926.703125,863228.25,-0.998523469096403,0.998523469096403,0.748892601822303,-0.999437335871969,0.999437335871969,0.749578001903977,0.74923530186314,0.313021672916541,0.0926615359091803,0.313021672916541,high,high,low,low,mixed_review,-1,review,A_one_and_only,A_one_and_only
24366,24366,0,0,0.75,54,7410,3,0.431502419517495,0.882652612035425,0.172120572897912,0.495425201483611,95814504.0,1524469888.0,0.0,92.4520034790039,1300,0.0,,,81.3359985351562,-0.120235414329038,-0.120235414329038,1047.0,-0.194615384615385,-0.194615384615385,0.104950266314807,54.0,7410.0,3.0,0.0,0.0,0.0,0.0,75827512.0,1100914304.0,-0.208600902427048,0.208600902427048,0.156450676820286,-0.277837947035921,0.277837947035921,0.208378460276941,0.182414568548613,0.098078775294557,0.0,,,63.5929985046387,-0.312151212395513,-0.312151212395513,925.0,-0.288461538461538,-0.288461538461538,0.200204250285684,47.0,7203.0,3.0,-0.12962962962963,-0.0279352226720648,0.0,0.0260205328994341,493006.3125,2977871.25,-0.994854575331309,0.994854575331309,0.746140931498482,-0.9980466185174,0.9980466185174,0.74853496388805,0.747337947693266,0.293441745291017,0.098078775294557,0.293441745291017,medium,high,low,low,mixed_review,-1,review,A_one_and_only,A_one_and_only
24367,24367,0,0,0.75,95,8748,3,0.491480792112977,0.899093191017836,0.172120572897912,0.520898185342908,117480856.0,1644534528.0,0.0,92.4520034790039,1345,0.0,,,81.3359985351562,-0.120235414329038,-0.120235414329038,1074.0,-0.201486988847584,-0.201486988847584,0.107240801058874,95.0,8748.0,3.0,0.0,0.0,0.0,0.0,94330392.0,1146006272.0,-0.197057331621758,0.197057331621758,0.147792998716319,-0.303142468286321,0.303142468286321,0.227356851214741,0.18757492496553,0.100514131770819,0.0,,,63.5929985046387,-0.312151212395513,-0.312151212395513,943.0,-0.298884758364312,-0.298884758364312,0.203678656919942,91.0,8748.0,3.0,-0.0421052631578947,0.0,0.0,0.0073108517241109,2158555.5,12931504.0,-0.981626321313151,0.981626321313151,0.736219740984863,-0.992136678324579,0.992136678324579,0.744102508743435,0.740161124864149,0.288707322607036,0.100514131770819,0.288707322607036,medium,high,low,low,mixed_review,-1,review,A_one_and_only,A_one_and_only
24368,24368,0,0,0.75,437,14932,178,0.65492237718942,0.952051444479384,0.644059329522577,0.75034438373046,123078864.0,1662899584.0,0.0,94.0170059204102,1352,0.0,,,81.3359985351562,-0.134879932211296,-0.134879932211296,1070.0,-0.208579881656805,-0.208579881656805,0.1144866046227,437.0,14932.0,178.0,0.0,0.0,0.0,0.0,96590016.0,1149634560.0,-0.215218496004318,0.215218496004318,0.161413872003239,-0.308656655482091,0.308656655482091,0.231492491611568,0.196453181807403,0.106356597763201,0.0,,,63.5929985046387,-0.323601109372988,-0.323601109372988,942.0,-0.303254437869822,-0.303254437869822,0.208951849080937,434.0,12671.0,178.0,-0.0068649885583524,-0.151419769622288,0.0,0.0395893597769924,28253850.0,181525360.0,-0.770441088894028,0.770441088894028,0.577830816670521,-0.890838050747868,0.890838050747868,0.668128538060901,0.622979677365711,0.270118183826144,0.106356597763201,0.270118183826144,medium,high,low,low,mixed_review,-1,review,,A_one_and_only
24398,24398,0,0,1.0,14,114,0,0.291597968009405,0.470009878652562,0.0,0.253869282220655,24198614.0,766337792.0,10.0,56.9070014953613,146,10.0,0.0,0.0,56.9070014953613,0.0,0.0,146.0,0.0,0.0,0.0,14.0,114.0,0.0,0.0,0.0,,0.0,24198616.0,761860416.0,8.26493616535228e-08,8.26493616535228e-08,8.26493616535228e-08,-0.0058425619181782,0.0058425619181782,0.0058425619181782,0.0029213222837699,0.0007303305709424,0.0,-1.0,-1.0,22.1240005493164,-0.611225333123204,-0.611225333123204,14.0,-0.904109589041096,-0.904109589041096,0.838444974054767,14.0,114.0,0.0,0.0,0.0,,0.0,14178230.0,336655392.0,-0.414089170561587,0.414089170561587,0.414089170561587,-0.560695824329123,0.560695824329123,0.560695824329123,0.487392497445355,0.541070611388722,0.0007303305709424,0.541070611388722,low,medium,high,low,C_no_service,3,add_emergency_service_point,C_no_service,C_no_service
24399,24399,0,0,1.0,14,114,0,0.291597968009405,0.470009878652562,0.0,0.253869282220655,24377618.0,786662592.0,10.0,63.3759994506836,151,10.0,0.0,0.0,63.3759994506836,0.0,0.0,151.0,0.0,0.0,0.0,14.0,114.0,0.0,0.0,0.0,,0.0,24377618.0,781164992.0,0.0,0.0,0.0,-0.006988510774388,0.006988510774388,0.006988510774388,0.003494255387194,0.0008735638467985,0.0,-1.0,-1.0,29.193000793457,-0.539368198584801,-0.539368198584801,15.0,-0.900662251655629,-0.900662251655629,0.813343483413477,14.0,114.0,0.0,0.0,0.0,,0.0,14446421.0,346692608.0,-0.407389967305255,0.407389967305255,0.407389967305255,-0.559286774882007,0.559286774882007,0.559286774882007,0.483338371093631,0.527506334480146,0.0008735638467985,0.527506334480146,low,medium,high,low,C_no_service,3,add_emergency_service_point,C_no_service,C_no_service
24400,24400,0,0,1.0,14,114,0,0.291597968009405,0.470009878652562,0.0,0.253869282220655,24254730.0,786979584.0,10.0,63.3759994506836,151,10.0,0.0,0.0,63.3759994506836,0.0,0.0,151.0,0.0,0.0,0.0,14.0,114.0,0.0,0.0,0.0,,0.0,24254728.0,781448320.0,-8.24581432157769e-08,8.24581432157769e-08,8.24581432157769e-08,-0.007028472037211,0.007028472037211,0.007028472037211,0.0035142772476771,0.0008785693119192,0.0,-1.0,-1.0,29.193000793457,-0.539368198584801,-0.539368198584801,16.0,-0.894039735099338,-0.894039735099338,0.811135977894713,14.0,114.0,0.0,0.0,0.0,,0.0,14387999.0,347041600.0,-0.406796158934773,0.406796158934773,0.406796158934773,-0.559020834776827,0.559020834776827,0.559020834776827,0.4829084968558,0.526295113161306,0.0008785693119192,0.526295113161306,low,medium,high,low,C_no_service,3,add_emergency_service_point,C_no_service,C_no_service
24401,24401,0,0,1.0,0,114,0,0.0,0.470009878652562,0.0,0.156669959550854,23448334.0,784381952.0,10.0,63.3759994506836,153,10.0,0.0,0.0,63.3759994506836,0.0,0.0,153.0,0.0,0.0,0.0,0.0,114.0,0.0,,0.0,,0.0,23448334.0,778886592.0,0.0,0.0,0.0,-0.0070059745586803,0.0070059745586803,0.0070059745586803,0.0035029872793401,0.000875746819835,0.0,-1.0,-1.0,29.193000793457,-0.539368198584801,-0.539368198584801,16.0,-0.895424836601307,-0.895424836601307,0.811597678395369,0.0,114.0,0.0,,0.0,,0.0,13958943.0,346956832.0,-0.404693612774366,0.404693612774366,0.404693612774366,-0.557668517084901,0.557668517084901,0.557668517084901,0.481181064929633,0.526094105430093,0.000875746819835,0.526094105430093,low,medium,high,low,C_no_service,3,add_emergency_service_point,C_no_service,C_no_service
24402,24402,0,0,1.0,0,114,0,0.0,0.470009878652562,0.0,0.156669959550854,21697470.0,780607104.0,10.0,65.9680023193359,166,10.0,0.0,0.0,65.9680023193359,0.0,0.0,166.0,0.0,0.0,0.0,0.0,114.0,0.0,,0.0,,0.0,21697472.0,775070592.0,9.21766454798647e-08,9.21766454798647e-08,9.21766454798647e-08,-0.007092571886202,0.007092571886202,0.007092571886202,0.0035463320314237,0.0008865830078559,0.0,-1.0,-1.0,31.7849998474121,-0.518175498273417,-0.518175498273417,17.0,-0.897590361445783,-0.897590361445783,0.805255286573067,0.0,114.0,0.0,,0.0,,0.0,13052417.0,347830848.0,-0.39843599276782,0.39843599276782,0.39843599276782,-0.554409835347847,0.554409835347847,0.554409835347847,0.476422914057834,0.521733371800992,0.0008865830078559,0.521733371800992,low,medium,high,low,C_no_service,3,add_emergency_service_point,C_no_service,C_no_service
